"","variety","price","winery","taster_name","title"
"429","Dolcetto",15,"Brezza","Kerin O’Keefe","Brezza 2015  Dolcetto d'Alba"
"430","Bordeaux-style Red Blend",14,"Château Bois Chantant","Roger Voss","Château Bois Chantant 2015  Bordeaux Supérieur"
"431","Bordeaux-style Red Blend",37,"Château de Pressac","Roger Voss","Château de Pressac 2014 Les Terrasses de Pressac  (Saint-Émilion)"
"432","Rosé",17,"Chateau Lafayette Reneau","Anna Lee C. Iijima","Chateau Lafayette Reneau 2016 Pinot Noir Rosé (Finger Lakes)"
"433","Bordeaux-style Red Blend",15,"Château Maison Noble Saint Martin","Roger Voss","Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux)"
"434","Rosé",13,"Cupcake","Jim Gordon","Cupcake 2016 Rosé (California)"
"435","Gewürztraminer",26,"Savage Grace","Sean P. Sullivan","Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA))"
"436","Pinot Noir",32,"Silvertip","Matt Kettmann","Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains)"
"437","Pinot Blanc",18,"Strauss","Anne Krebiehl MW","Strauss 2016 Classic Pinot Blanc (Steiermark)"
"438","Zweigelt",NA,"Umathum","Anne Krebiehl MW","Umathum 2015 Zweigelt (Burgenland)"
"439","Chardonnay",17,"Vintage Cowboy","Matt Kettmann","Vintage Cowboy 2016 Chardonnay (Paso Robles)"
"440","Grüner Veltliner",13,"Winzer Krems","Anne Krebiehl MW","Winzer Krems 2016 GV Grüner Veltliner (Niederösterreich)"
"441","Malbec",41,"Kontos","Sean P. Sullivan","Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA))"
"442","Rhône-style Red Blend",20,"Lavau","Joe Czerwinski","Lavau 2015 La Decelle Red"
"443","Vilana",13,"Lyrarakis","Susan Kostrzewa","Lyrarakis 2015 Vilana (Crete)"
"444","Sangiovese",36,"Midnight","Matt Kettmann","Midnight 2013 Starlight Sangiovese (Paso Robles)"
"445","Cortese",19,"Michele Chiarlo","Unknown","Michele Chiarlo 2011 Le Marne  (Gavi)"
"446","Cabernet Sauvignon",69,"Paoletti","Unknown","Paoletti 2010 Cabernet Sauvignon (Oak Knoll District)"
"447","Cabernet Franc",36,"Peconic Bay Winery","Anna Lee C. Iijima","Peconic Bay Winery 2010 Cabernet Franc (North Fork of Long Island)"
"448","Grenache",25,"Quady North","Sean P. Sullivan","Quady North 2011 Bomba Grenache (Rogue Valley)"
"449","Viognier",25,"Quady North","Sean P. Sullivan","Quady North 2011 Steel-Ox Viognier (Rogue Valley)"
"450","Portuguese White",15,"Quinta do Portal","Roger Voss","Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro)"
"451","Grüner Veltliner",20,"Raptor Ridge","Paul Gregutt","Raptor Ridge 2012 Estate Grüner Veltliner (Chehalem Mountains)"
"452","Pinot Noir",54,"Saintsbury","Unknown","Saintsbury 2010 Toyon Farm Pinot Noir (Carneros)"
"453","G-S-M",40,"Sextant","Unknown","Sextant 2010 Caverio G-S-M (Paso Robles)"
"454","Portuguese White",12,"Solar de Pinheiro","Roger Voss","Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde)"
"455","Garganega",19,"Suavia","Unknown","Suavia 2011  Soave Classico"
"456","Malbec",11,"Tilia","Michael Schachner","Tilia 2011 Malbec (Mendoza)"
"457","Chardonnay",45,"B Cellars","Unknown","B Cellars 2011 Dutton Ranch Chardonnay (Russian River Valley)"
"458","Glera",25,"Bacio della Luna","Unknown","Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)"
"459","Chardonnay",16,"Borgo Maragliano","Unknown","Borgo Maragliano NV Brut Chardonnay (Piedmont)"
"460","Glera",20,"Bortolotti","Unknown","Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore)"
"461","Red Blend",25,"Coiled","Sean P. Sullivan","Coiled 2009 Sidewinder Red"
"462","Red Blend",28,"Coiled","Sean P. Sullivan","Coiled 2010 Black Mamba Red"
"463","Garganega",15,"Corte Falco","Unknown","Corte Falco 2010  Soave"
"464","Garganega",23,"Domenico Cavazza","Unknown","Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico)"
"465","Shiraz",35,"Kangarilla Road","Joe Czerwinski","Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale)"
"466","Gewürztraminer",54,"Willm","Anne Krebiehl MW","Willm 2011 Vendanges Tardives Gewurztraminer (Alsace)"
"467","Riesling",34,"Jean-Marc Bernhard","Anne Krebiehl MW","Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace)"
"468","Viognier",60,"Yeringberg","Joe Czerwinski","Yeringberg 2013 Viognier (Yarra Valley)"
"469","Viura",28,"Marqués de Murrieta","Michael Schachner","Marqués de Murrieta 2010 Capellanía Viura (Rioja)"
"470","Shiraz",125,"Torbreck","Joe Czerwinski","Torbreck 2010 The Factor Shiraz (Barossa Valley)"
"471","Alsace white blend",45,"Biecher & Schaal","Anne Krebiehl MW","Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace)"
"472","Riesling",36,"Domaines Schlumberger","Anne Krebiehl MW","Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace)"
"473","Pinot Gris",30,"Domaines Schlumberger","Anne Krebiehl MW","Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris (Alsace)"
"474","Chardonnay",37,"Foxen","Matt Kettmann","Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley)"
"475","Pinot Gris",25,"Les Belles Collines","Virginie Boone","Les Belles Collines 2014 Pinot Gris (California)"
"476","Portuguese Red",30,"Luis Duarte","Roger Voss","Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano)"
"477","Chardonnay",60,"Melhill","Virginie Boone","Melhill 2012 Chardonnay (Sonoma Coast)"
"478","Portuguese Red",23,"Quinta da Lagoalva de Cima","Roger Voss","Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo)"
"479","Portuguese Red",80,"Quinta do Monte Xisto","Roger Voss","Quinta do Monte Xisto 2013 Red (Douro)"
"480","Sauvignon",24,"Sturm","Kerin O’Keefe","Sturm 2014 Sauvignon (Collio)"
"481","Riesling",39,"Kuentz-Bas","Anne Krebiehl MW","Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace)"
"482","Riesling",21,"Plantagenet","Joe Czerwinski","Plantagenet 2014 Riesling (Great Southern)"
"483","Riesling",43,"Sipp Mack","Anne Krebiehl MW","Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace)"
"484","Zinfandel",30,"St. Amant","Jim Gordon","St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel (Mokelumne River)"
"485","Pinot Noir",70,"Stoller","Paul Gregutt","Stoller 2013 Nancy's Pinot Noir (Dundee Hills)"
"486","Rhône-style Red Blend",50,"Fable Mountain","Lauren Buzzeo","Fable Mountain 2011 Night Sky Red (Coastal Region)"
"487","Cabernet Sauvignon",80,"Y Rousseau","Virginie Boone","Y Rousseau 2012 Le Roi Soleil Cabernet Sauvignon (Mount Veeder)"
"488","Pinot Grigio",15,"Monte Volpe","Jim Gordon","Monte Volpe 2013 Pinot Grigio (Mendocino)"
"489","Nebbiolo",65,"Palladino","Kerin O’Keefe","Palladino 2011 Ornato  (Barolo)"
"490","Cabernet Sauvignon",65,"Paradise Ridge","Virginie Boone","Paradise Ridge 2012 Rockpile Vineyard Cabernet Sauvignon (Rockpile)"
"491","Dolcetto",35,"Pecchenino","Kerin O’Keefe","Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore)"
"492","Barbera",25,"Poderi Colla","Kerin O’Keefe","Poderi Colla 2013 Costa Bruna  (Barbera d'Alba)"
"493","Garnacha Tintorera",15,"Rafael Cambra","Michael Schachner","Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia)"
"494","Riesling",26,"Raphael","Anna Lee C. Iijima","Raphael 2014 Virgin Berry Riesling (North Fork of Long Island)"
"495","Chardonnay",32,"Array","Sean P. Sullivan","Array 2012 Dijon Clone Chardonnay (Yakima Valley)"
"496","Tempranillo Blend",25,"Bodegas Berceo","Michael Schachner","Bodegas Berceo 2011 Selección Crianza  (Rioja)"
"497","Pinot Nero",45,"Castello di Neive","Kerin O’Keefe","Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte)"
"498","Red Blend",70,"Castello di Querceto","Kerin O’Keefe","Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale)"
"499","Nebbiolo",53,"Comm. G. B. Burlotto","Kerin O’Keefe","Comm. G. B. Burlotto 2011 Acclivi  (Barolo)"
"500","Chardonnay",29,"Cooper-Garrod","Matt Kettmann","Cooper-Garrod 2012 Gravel Ridge Vineyard Chardonnay (Santa Cruz Mountains)"
"501","Malbec",50,"Nottingham Cellars","Jim Gordon","Nottingham Cellars 2012 Ghielmetti Vineyard Micro-lot Reserve Malbec (Livermore Valley)"
"502","Cabernet Franc",65,"Pride Mountain","Virginie Boone","Pride Mountain 2012 Cabernet Franc (Sonoma County)"
"503","Sauvignon Blanc",50,"Reyneke","Lauren Buzzeo","Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch)"
"504","Red Blend",43,"Ruffino","Kerin O’Keefe","Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico)"
"505","Sauvignon Blanc",28,"Saint Clair","Joe Czerwinski","Saint Clair 2014 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough)"
"506","Roter Veltliner",NA,"Soellner","Anne Krebiehl MW","Soellner 2014 von Gösing Roter Veltliner (Wagram)"
"507","Pinotage",40,"Kanonkop","Lauren Buzzeo","Kanonkop 2012 Estate Wine Pinotage (Simonsberg-Stellenbosch)"
"508","Bonarda",30,"El Enemigo","Michael Schachner","El Enemigo 2012 Bonarda (Mendoza)"
"509","Rosé",65,"Château d'Esclans","Roger Voss","Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence)"
"510","Rosé",NA,"Château Sainte Marguerite","Roger Voss","Château Sainte Marguerite 2014 Rosé (Côtes de Provence)"
"511","Rosé",25,"Domaine Sainte-Marie","Roger Voss","Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence)"
"512","Zinfandel",38,"Dry Creek Vineyard","Virginie Boone","Dry Creek Vineyard 2012 DCV2 Estate Four Clones Vineyard Zinfandel (Dry Creek Valley)"
"513","Pinot Noir",120,"Dry River","Joe Czerwinski","Dry River 2013 Pinot Noir (Martinborough)"
"514","Portuguese White",8,"Casca Wines","Roger Voss","Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa)"
"515","Rosé",22,"Cortes de Cima","Roger Voss","Cortes de Cima 2015 Rosé (Alentejano)"
"516","Cabernet Sauvignon",14,"Domaine Bousquet","Michael Schachner","Domaine Bousquet 2015 Cabernet Sauvignon (Tupungato)"
"517","Sémillon",25,"Mendel","Michael Schachner","Mendel 2015 Semillon (Mendoza)"
"518","Viognier",14,"Mont Sec","Alexander Peartree","Mont Sec 2015 Mont Sec Vineyards Viognier (Texas)"
"519","Nebbiolo",80,"Paolo Manzone","Kerin O’Keefe","Paolo Manzone 2012 Meriame  (Barolo)"
"520","Rosé",9,"Quinta de Paços","Roger Voss","Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde)"
"521","Torrontés",17,"Terrazas de Los Andes","Michael Schachner","Terrazas de Los Andes 2015 Reserva Torrontés (Salta)"
"522","Portuguese White",10,"Herdade Grande","Roger Voss","Herdade Grande 2015 Audaz Branco White (Alentejano)"
"523","Cabernet Sauvignon",16,"Jack's House","Jim Gordon","Jack's House 2013 Cabernet Sauvignon (California)"
"524","Chardonnay",10,"Kiwi Cuvée","Lauren Buzzeo","Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France)"
"525","Bonarda",15,"Durigutti","Michael Schachner","Durigutti 2014 Bonarda (Mendoza)"
"526","Tempranillo",32,"Felten Cellars","Matt Kettmann","Felten Cellars 2013 Tempranillo (Paso Robles)"
"527","Rosé",12,"Wines & Winemakers","Roger Voss","Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal)"
"528","Malbec",17,"Lagarde","Michael Schachner","Lagarde 2013 Henry Legarde Malbec (Luján de Cuyo)"
"529","Nebbiolo",102,"Marchesi di Barolo","Kerin O’Keefe","Marchesi di Barolo 2009 Riserva  (Barolo)"
"530","Pinot Noir-Gamay",10,"Patriarche Père et Fils","Roger Voss","Patriarche Père et Fils 2014  Coteaux Bourguignons"
"531","Zinfandel",33,"Pech Merle","Virginie Boone","Pech Merle 2013 Treborce Vineyard Zinfandel (Dry Creek Valley)"
"532","Nebbiolo",48,"Punset","Kerin O’Keefe","Punset 2011 Campo Quadro Riserva  (Barbaresco)"
"533","Antão Vaz",12,"Ribafreixo","Roger Voss","Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo)"
"534","Pinot Grigio",9,"Jacob's Creek","Joe Czerwinski","Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia)"
"535","Pinot Noir",24,"William Knuttel","Unknown","William Knuttel 2007 Pinot Noir (Sonoma Coast)"
"536","Cabernet Franc",75,"Casa Larga","Anna Lee C. Iijima","Casa Larga 2008 Fiori Delle Stelle Ice Wine Cabernet Franc (Finger Lakes)"
"537","Riesling",12,"Cave de Beblenheim","Roger Voss","Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace)"
"538","Gewürztraminer",NA,"Dopff Au Moulin","Roger Voss","Dopff Au Moulin 2009 Gewürztraminer (Alsace)"
"539","Chardonnay",22,"Center of Effort","Unknown","Center of Effort 2008 Effort Chardonnay (Edna Valley)"
"540","Viura",10,"El Coto","Michael Schachner","El Coto 2010 Viura (Rioja)"
"541","Gewürztraminer",18,"Handley","Unknown","Handley 2009 Gewürztraminer (Anderson Valley)"
"542","Syrah",70,"Monte De Oro","Virginie Boone","Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)"
"543","Cabernet Sauvignon-Carmenère",19,"Ninquén","Michael Schachner","Ninquén 2009 Antu Cabernet Sauvignon-Carmenère (Colchagua Valley)"
"544","Verdejo",14,"Oro de Castilla","Michael Schachner","Oro de Castilla 2010 Solo Verdejo (Rueda)"
"545","Verdejo-Viura",10,"Pablo del Villar","Michael Schachner","Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda)"
"546","Red Blend",32,"Robert Foley","Unknown","Robert Foley 2008 The Griffin Red (Napa Valley)"
"547","Pinot Noir",18,"42°S","Joe Czerwinski","42°S 2008 Pinot Noir (Tasmania)"
"548","Tempranillo",9,"Manyana","Michael Schachner","Manyana 2008 Tempranillo (Cariñena)"
"549","Cabernet Sauvignon",11,"McWilliam's Hanwood Estate","Joe Czerwinski","McWilliam's Hanwood Estate 2008 Cabernet Sauvignon (South Eastern Australia)"
"550","Aglianico",30,"Paternoster","Unknown","Paternoster 2007 Synthesi  (Aglianico del Vulture)"
"551","Chardonnay",62,"G. H. Mumm","Roger Voss","G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne)"
"552","Sparkling Blend",40,"Iron Horse","Unknown","Iron Horse 2007 Ocean Reserve Sparkling (Green Valley)"
"553","Portuguese Red",32,"Monte da Penha","Roger Voss","Monte da Penha 2005 Grande Reserva Red (Alentejo)"
"554","Chardonnay",72,"Pierre Gimonnet et Fils","Roger Voss","Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne)"
"555","Verduzzo",18,"Scubla","Unknown","Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli)"
"556","Pinot Noir",105,"Adelsheim","Paul Gregutt","Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills)"
"557","Champagne Blend",101,"Bruno Paillard","Roger Voss","Bruno Paillard 2002 Assemblage Brut  (Champagne)"
"558","White Blend",50,"Castello d'Albola","Unknown","Castello d'Albola 2003  Vin Santo del Chianti Classico"
"559","Chardonnay",85,"Ferrari","Unknown","Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento)"
"560","Portuguese Red",12,"Sobredos","Roger Voss","Sobredos 2012 Aneto Tinto Red (Douro)"
"561","Chardonnay",46,"Viña Cobos","Michael Schachner","Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay (Perdriel)"
"562","Riesling",29,"Von Schleinitz","Anna Lee C. Iijima","Von Schleinitz 2015 Apollo Dry Riesling (Mosel)"
"563","Cabernet Sauvignon",17,"Barnard Griffin","Sean P. Sullivan","Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA))"
"564","Bordeaux-style Red Blend",30,"Bernard Magrez","Roger Voss","Bernard Magrez 2012 La Sérénité des Grands Chênes  (Médoc)"
"565","Red Blend",34,"Brian Carter Cellars","Sean P. Sullivan","Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley)"
"566","Grenache Blanc",22,"Buttonwood","Matt Kettmann","Buttonwood 2015 Grenache Blanc (Santa Ynez Valley)"
"567","Bordeaux-style Red Blend",35,"Château Corbin","Roger Voss","Château Corbin 2014 Divin de Corbin  (Saint-Émilion)"
"568","Bordeaux-style Red Blend",17,"Château Mayne Vieil","Roger Voss","Château Mayne Vieil 2014  Fronsac"
"569","Gamay",22,"Domaine Franck Besson","Roger Voss","Domaine Franck Besson 2014 Le Griottier  (Juliénas)"
"570","Merlot",39,"Efeste","Sean P. Sullivan","Efeste 2013 Upright Klipsun Vineyard Merlot (Red Mountain)"
"571","Riesling",15,"Firesteed","Paul Gregutt","Firesteed 2012 Riesling (Oregon)"
"572","Verdicchio",32,"Moncaro","Kerin O’Keefe","Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico)"
"573","Tempranillo",20,"Finca Constancia","Michael Schachner","Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla)"
"574","Silvaner",16,"Castell","Anna Lee C. Iijima","Castell 2015 Castell Silvaner (Franken)"
"575","Red Blend",22,"Torbreck","Joe Czerwinski","Torbreck 2013 Cuvee Juveniles Red (Barossa Valley)"
"576","Gewürztraminer",22,"Keuka Spring","Anna Lee C. Iijima","Keuka Spring 2013 Pre-Emption Vineyard Gewürztraminer (Finger Lakes)"
"577","Gamay",15,"Les Vins Aujoux","Roger Voss","Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages)"
"578","Colombard",9,"Mont Gravet","Roger Voss","Mont Gravet 2013 Colombard (Côtes de Gascogne)"
"579","Tempranillo Blend",12,"Navardia","Michael Schachner","Navardia 2013 Made With Organic Grapes  (Rioja)"
"580","Sparkling Blend",15,"Pata Negra","Michael Schachner","Pata Negra NV Brut Sparkling (Cava)"
"581","Sangiovese",20,"Ridolfi","Kerin O’Keefe","Ridolfi 2012  Rosso di Montalcino"
"582","Malbec",28,"Still Waters","Matt Kettmann","Still Waters 2010 Malbec (Paso Robles)"
"583","Merlot",10,"Stomping Ground","Jim Gordon","Stomping Ground 2010 Merlot (California)"
"584","Sangiovese",70,"Tenuta Poggio il Castellare","Kerin O’Keefe","Tenuta Poggio il Castellare 2009  Brunello di Montalcino"
"585","Chenin Blanc",30,"Clos Troteligotte","Roger Voss","Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot)"
"586","Viognier",26,"Columbia Winery","Paul Gregutt","Columbia Winery 2013 Viognier (Columbia Valley (WA))"
"587","Nebbiolo",30,"Dosio","Kerin O’Keefe","Dosio 2012  Nebbiolo d'Alba"
"588","Cabernet Sauvignon",10,"G7","Michael Schachner","G7 2012 Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley)"
"589","Gamay",12,"Georges Duboeuf","Roger Voss","Georges Duboeuf 2013 Flower Label  (Beaujolais)"
"590","Gamay",16,"Manoir du Carra","Roger Voss","Manoir du Carra 2013  Beaujolais-Villages"
"591","Carricante",24,"Cottanera","Kerin O’Keefe","Cottanera 2015 Bianco  (Etna)"
"592","Grillo",NA,"CVA Canicattì","Kerin O’Keefe","CVA Canicattì 2015 Aquilae Bio Grillo (Terre Siciliane)"
"593","Sylvaner",24,"Domaine Barmès-Buecher","Anne Krebiehl MW","Domaine Barmès-Buecher 2014 Rosenberg Sylvaner (Alsace)"
"594","Pinot Noir",33,"Domaine Bott-Geyl","Anne Krebiehl MW","Domaine Bott-Geyl 2012 Galets Oligocène Pinot Noir (Alsace)"
"595","Pinot Noir",NA,"Domaine Collotte","Roger Voss","Domaine Collotte 2014 Clos de Jeu  (Marsannay)"
"596","Chardonnay",117,"Domaine Jacques Prieur","Roger Voss","Domaine Jacques Prieur 2014 Grèves Premier Cru  (Beaune)"
"597","Sylvaner",16,"Domaine Roland Schmitt","Anne Krebiehl MW","Domaine Roland Schmitt 2014 Grand A du Petit Léon Sylvaner (Alsace)"
"598","Fiano",25,"Fattoria La Rivolta","Kerin O’Keefe","Fattoria La Rivolta 2015 Taburno Fiano (Sannio)"
"599","Pinot Gris",15,"Firesteed","Paul Gregutt","Firesteed 2014 Pinot Gris (Oregon)"
"600","Cabernet Sauvignon",150,"Foretell","Virginie Boone","Foretell 2012 Cabernet Sauvignon (Spring Mountain District)"
"601","Cabernet Franc",45,"Gershon Bachus","Matt Kettmann","Gershon Bachus 2009 Erato De Portola Trail Vineyard Cabernet Franc (Temecula Valley)"
"602","Nerello Mascalese",30,"Graci","Kerin O’Keefe","Graci 2015 Rosso  (Etna)"
"603","Früburgunder",40,"Winzergenossenschaft Mayschoss-Altenahr","Anna Lee C. Iijima","Winzergenossenschaft Mayschoss-Altenahr 2013 Trocken Früburgunder (Ahr)"
"604","Grenache",42,"Casa Dumetz","Matt Kettmann","Casa Dumetz 2014 Larner Grenache (Ballard Canyon)"
"605","Syrah",29,"Greenwood Ridge","Jim Gordon","Greenwood Ridge 2013 Estate Bottled Syrah (Mendocino Ridge)"
"606","Merlot",42,"Herencia","Virginie Boone","Herencia 2013 Merlot (Napa Valley)"
"607","Albariño",18,"J. Scott Cellars","Paul Gregutt","J. Scott Cellars 2015 Albariño (Oregon)"
"608","Sousão",40,"Quinta do Vallado","Roger Voss","Quinta do Vallado 2009 Sousão (Douro)"
"609","Portuguese Red",NA,"Roquette e Cazes","Roger Voss","Roquette e Cazes 2007 Red (Douro)"
"610","Syrah",20,"Cline","Unknown","Cline 2008 Sonoma Estate Syrah (Los Carneros)"
"611","Red Blend",44,"Fuentes","Michael Schachner","Fuentes 2008 Coraje Red (Priorat)"
"612","Cabernet Sauvignon",22,"Fuse","Unknown","Fuse 2009 Cabernet Sauvignon (Napa Valley)"
"613","Sparkling Blend",28,"J Vineyards & Winery","Unknown","J Vineyards & Winery NV Brut Rose Sparkling (Russian River Valley)"
"614","Petite Sirah",27,"Kokomo","Unknown","Kokomo 2008 Petite Sirah (Dry Creek Valley)"
"615","Rhône-style Red Blend",25,"Loup Blanc","Lauren Buzzeo","Loup Blanc 2007 La Mère Grand Red (Minervois)"
"616","Portuguese White",60,"Maritávora","Roger Voss","Maritávora 2009 Reserva Branco White (Douro)"
"617","Cabernet Franc",72,"Owen Roe","Paul Gregutt","Owen Roe 2009 Slide Mountain Vineyard Cabernet Franc (Yakima Valley)"
"618","Viognier",28,"Phoenix Ranch","Unknown","Phoenix Ranch 2009 Estate Viognier (Napa Valley)"
"619","Pinot Noir",29,"2nd Chance","Unknown","2nd Chance 2009 Pinot Noir (Santa Maria Valley)"
"620","Bordeaux-style Red Blend",58,"Bergevin Lane","Paul Gregutt","Bergevin Lane 2008 Stone Tree Vineyard Intuition Reserve Red (Columbia Valley (WA))"
"621","Shiraz",15,"Hungerford Hill","Joe Czerwinski","Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia)"
"622","Sangiovese",29,"Jacopo Biondi-Santi","Unknown","Jacopo Biondi-Santi 2008 Castello di Montepò  (Morellino di Scansano)"
"623","Red Blend",45,"Le Buche","Unknown","Le Buche 2006 Giuseppe Olivi Memento Red (Toscana)"
"624","Syrah",39,"Market Vineyards","Paul Gregutt","Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA))"
"625","Portuguese White",50,"Quinta do Vallado","Roger Voss","Quinta do Vallado 2010 Reserva Branco White (Douro)"
"626","Roussanne",22,"Becker","Alexander Peartree","Becker 2014 Reserve Bingham Vineyard Roussanne (Texas High Plains)"
"627","Nebbiolo",50,"Boffa","Kerin O’Keefe","Boffa 2013 Pajè  (Barbaresco)"
"628","Nero d'Avola",30,"Brennan","Alexander Peartree","Brennan 2014 Super Nero Nero d'Avola (Texas)"
"629","Roussanne",18,"Brennan","Alexander Peartree","Brennan 2015 Reddy Vineyard Roussanne (Texas High Plains)"
"630","Avesso",30,"Casa de Vilacetinho","Roger Voss","Casa de Vilacetinho 2013 Bruto Avesso (Vinho Verde)"
"631","Nebbiolo",39,"Cascina Bruciata","Kerin O’Keefe","Cascina Bruciata 2013  Barbaresco"
"632","Nebbiolo",35,"Castello di Neive","Kerin O’Keefe","Castello di Neive 2013  Barbaresco"
"633","Cinsault",23,"Frédéric Brouca","Lauren Buzzeo","Frédéric Brouca 2013 Samsó Seulle Cinsault (Vin de France)"
"634","Chinuri",30,"Gotsa Family Wines","Mike DeSimone","Gotsa Family Wines 2014 Asureti Valley Chinuri"
"635","Malbec",20,"Graffigna","Michael Schachner","Graffigna 2012 Grand Reserve Malbec (San Juan)"
"636","Pinot Gris",20,"Coelho","Paul Gregutt","Coelho 2015 Renovação Estate Vineyards Pinot Gris (Willamette Valley)"
"637","Sauvignon Blanc",NA,"Evans & Tate","Joe Czerwinski","Evans & Tate 2015 Breathing Space Sauvignon Blanc (Australia)"
"638","Portuguese White",9,"Falua","Roger Voss","Falua 2015 Conde Vimioso Colheita Seleccionada Branco White (Tejo)"
"639","Tinta Miúda",14,"Fiuza","Roger Voss","Fiuza 2015 Red (Tejo)"
"640","Muscat Blanc à Petits Grains",20,"Terre Rouge","Jim Gordon","Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA))"
"641","Malbec",175,"Antonio Mas","Michael Schachner","Antonio Mas 2011 Roll Fermentor Malbec (Tupungato)"
"642","Portuguese Sparkling",12,"Aveleda","Roger Voss","Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde)"
"643","Bordeaux-style Red Blend",16,"Château Mougneaux","Roger Voss","Château Mougneaux 2014  Bordeaux Supérieur"
"644","Tempranillo",15,"Covila","Michael Schachner","Covila 2013 II Crianza  (Rioja)"
"645","Bordeaux-style Red Blend",55,"Cuda Ridge Wines","Jim Gordon","Cuda Ridge Wines 2013 Melange d'Amis Reserve Red (Livermore Valley)"
"646","Champagne Blend",38,"Duménil","Roger Voss","Duménil NV Grande Réserve Premier Cru Brut  (Champagne)"
"647","Monastrell",15,"Ego Bodegas","Michael Schachner","Ego Bodegas 2014 Goru Verde Monastrell (Jumilla)"
"648","Tempranillo Blend",18,"Finca del Marquesado","Michael Schachner","Finca del Marquesado 2013 Crianza  (Rioja)"
"649","Viognier",27,"Folin Cellars","Paul Gregutt","Folin Cellars 2015 Estate Viognier (Rogue Valley)"
"650","Sangiovese",65,"Frank Family","Virginie Boone","Frank Family 2013 Reserve Winston Hill Vineyard Sangiovese (Rutherford)"
"651","Portuguese Red",13,"Real Companhia Velha","Roger Voss","Real Companhia Velha 2014 Evel Tinto Red (Douro)"
"652","Nebbiolo",23,"Travaglini","Kerin O’Keefe","Travaglini 2014 Nebbiolo (Coste della Sesia)"
