"","x"
"1163","Bonterra"
"1164","Chaddsford"
"1165","Di Lenardo"
"1166","Lavender Ridge"
"1167","Mas de la Dame"
"1168","Montevina"
"1169","Quinta de Ventozelo"
"1170","Substance"
"1171","Stevenot"
"1172","Stonehouse"
"1173","Renato Keber"
"1174","S.A. Prüm"
"1175","Schmidt"
"1176","Tercic"
"1177","August Truth"
"1178","Terre Brûlée"
"1179","Apriori"
"1180","Bernat"
"1181","Bodega Norton"
"1182","Bouchaine"
"1183","Brys"
"1184","Bulas"
"1185","C. von Nell-Breuning"
"1186","Caldaro"
"1187","Casa da Passarella"
"1188","Chateau Grand Traverse"
"1189","Manincor"
"1190","Mario Schiopetto"
"1191","Martin Ray"
"1192","Matchbook"
"1193","Paratus"
"1194","Peter Mertes"
"1195","Quinta dos Murças"
"1196","Replica"
"1197","Domaine de l'Hermitage"
"1198","Domaine Weinbach"
"1199","Dunham"
"1200","Tamarack Cellars"
"1201","Krutzler"
"1202","Marita's Vineyard"
"1203","Pamplin"
"1204","Prieler"
"1205","Rieflé"
"1206","Rocca"
"1207","Buty"
"1208","Caldwell"
"1209","Charles Smith"
"1210","Château Paradis"
"1211","Château Salettes"
"1212","Domaine de Val d'Arenc"
"1213","Fritsch"
"1214","Judith Beck"
"1215","Epoch Estate Wines"
"1216","Z. Alexander Brown"
"1217","Alain Brumont"
"1218","Alex Gambal"
"1219","Alves de Sousa"
"1220","Château La Nerthe"
"1221","David Duband"
"1222","Le Ragnaie"
"1223","Louis Jadot"
"1224","Masi"
"1225","Freemark Abbey"
"1226","Georges Vigouroux"
"1227","Grimm's Bluff"
"1228","Foradori"
"1229","Joseph Phelps"
"1230","Mesa Del Sol"
"1231","Mouchão"
"1232","Pine Ridge"
"1233","Sandler"
"1234","Tolosa"
"1235","Villa Poggio Salvi"
"1236","Volker Eisele Family Estate"
"1237","TerraNoble"
"1238","Terre de Trinci"
"1239","Mosolo Gleni"
"1240","Arbor Crest"
"1241","Wolf Blass"
"1242","Chilensis"
"1243","Domaines Barons de Rothschild (Lafite)"
"1244","Fetzer"
"1245","Barker's Marque"
"1246","Bock"
"1247","Carneros Creek"
"1248","Casale Triocco"
"1249","Castello di Monastero"
"1250","Konrad"
"1251","Mana"
"1252","Michel Torino"
"1253","Rubissow"
"1254","Santa Julia"
"1255","Ronco Blanchis"
"1256","Planeta"
"1257","Sequana"
"1258","Small Vines"
"1259","Bründlmayer"
"1260","Château d'Aydie"
"1261","Château de Gaudou"
"1262","Château des Jacques"
"1263","Happy Canyon Vineyard"
"1264","Palari"
"1265","Pascal Aufranc"
"1266","Charles Krug"
"1267","Château Blaignan"
"1268","Domaine Bru-Baché"
"1269","Lagar de Bezana"
"1270","Morgante"
"1271","Santa Carolina"
"1272","Steven Kent"
"1273","Hauner"
"1274","Herdade do Esporão"
"1275","Jean León"
"1276","Bodegas Luzón"
"1277","Volver"
"1278","Cellars 33"
"1279","Château de Chaintres"
"1280","Château de la Vieille Tour"
"1281","Château la France"
"1282","Château Lalande Méric"
"1283","Château Lauduc"
"1284","Clos de Nit"
"1285","DFJ Vinhos"
"1286","Jidvei"
"1287","Orion Wines"
"1288","Raventós de Alella"
"1289","Rubus"
"1290","Sanguinhal"
"1291","Villa Cordevigo"
"1292","Botromagno"
"1293","Bowman Cellars"
"1294","Quinta das Arcas"
"1295","Quilceda Creek"
"1296","Château Margaux"
"1297","Château Palmer"
"1298","Pirouette"
"1299","Château Troplong Mondot"
"1300","Tenuta San Guido"
"1301","Tenuta dell'Ornellaia"
"1302","Château La Mission Haut-Brion"
"1303","Château Figeac"
"1304","Château Léoville Poyferré"
"1305","Tenuta Argentiera"
"1306","Château Haut-Brion"
"1307","Château la Fleur-Pétrus"
"1308","Château Lynch-Bages"
"1309","Groth"
"1310","Château Mouton Rothschild"
"1311","Château Trotanoy"
"1312","Château Beau-Séjour Bécot"
"1313","Château Branaire-Ducru"
"1314","Château Canon"
"1315","Château Canon la Gaffelière"
"1316","Doyenne"
"1317","Hanzell"
"1318","Billsboro"
"1319","C'est Bon"
"1320","Ceuso"
"1321","Château Balac"
"1322","Château des Annereaux"
"1323","Château Frank"
"1324","Château Haut-Bergey"
"1325","Château Larrivet Haut-Brion"
"1326","Château le Sartre"
"1327","Château Mancèdre"
"1328","Château Peyredon Lagravette"
"1329","Château Potensac"
"1330","Clos Beauregard"
"1331","Dark Horse"
"1332","Domaine Anderson"
"1333","Dowsett Family"
"1334","Feudo Antico"
"1335","Gamache"
"1336","Paumanok"
"1337","Broken Clouds"
"1338","Browne Family Vineyards"
"1339","Castillo De Feliciana"
"1340","Château Amour"
"1341","Château de Cruzeau"
"1342","Château de Paillet-Quancard"
"1343","Château de Rochemorin"
"1344","Gabriel Meffre"
"1345","Alta Vista"
"1346","Aymara"
"1347","Paul Buisse"
"1348","Saget la Perrière"
"1349","The Williamsburg Winery"
"1350","Valentin Bianchi"
"1351","Gruet"
"1352","Jean-Max Roger"
"1353","Magnum Vinhos"
"1354","Blue Valley"
"1355","Vinadeis"
"1356","Gnarly Head"
"1357","Ca' Momi"
"1358","Domaine de Reuilly"
"1359","Enoport"
"1360","Tie-Dye"
"1361","Il Chiosso"
"1362","Grayson"
"1363","Leaping Lizard"
"1364","Portal del Montsant"
"1365","Decoy"
"1366","Xanadu"
"1367","Adega Mãe"
"1368","Aniello"
"1369","Oak Knoll"
"1370","Parras Wines"
"1371","Château Lanscade"
"1372","Château Troupian"
"1373","Cliff Creek"
"1374","Del Rio"
"1375","Delfino"
"1376","Gru"
"1377","First & Local"
"1378","Amalaya"
"1379","Half Mile Creek"
"1380","California Republic"
"1381","Cantina Valle Tritana"
"1382","Château Doms"
"1383","Château Pindefleurs"
"1384","Réserve des Oliviers"
"1385","Tardieu-Laurent"
"1386","Sant Agnese dei F.lli Gigli"
"1387","Bonaccorsi"
"1388","Chanin"
"1389","Doña Silvina"
"1390","Dürnberg"
"1391","Il Veltro"
"1392","Lange"
"1393","Markus Huber"
"1394","Massi di Mandorlaia"
"1395","Melrose"
"1396","Pieve Vecchia"
"1397","Tessa Marie"
"1398","Türk"
"1399","Ugly Duckling"
"1400","Finca Vides"
"1401","Petra"
"1402","Recanati"
"1403","Terralsole"
"1404","Caves Aliança"
"1405","Bodegas Cerrosol"
"1406","Prejean"
"1407","Kadesh Barnea"
"1408","Antonino Tringali-Casanuova"
"1409","Tyrrell's"
"1410","Vasse River"
"1411","Vega de la Reina"
"1412","Villa Vignamaggio"
"1413","Vinum Cellars"
"1414","Analivia"
"1415","Battle of Bosworth"
"1416","La Gerla"
"1417","Quinta do Grifo"
"1418","St. Clement"
"1419","Quinta da Alorna"
"1420","Torres"
"1421","Renwood"
"1422","Tapeña"
"1423","Marqués de Cáceres"
"1424","Bodegas Campante"
"1425","Brick Road"
"1426","Bodegas Riojanas"
"1427","Château de Malle"
"1428","Presqu'ile"
"1429","Sante Arcangeli"
"1430","Sixto"
"1431","Syncline"
"1432","Lambardi"
"1433","Le Carré"
"1434","Two Vintners"
"1435","Le P'tit Paysan"
"1436","Lisini"
"1437","Analemma"
"1438","Centolani"
"1439","Château Bouscaut"
"1440","Château Couhins"
"1441","Château d'Arche"
"1442","Château Gaudin"
"1443","Château Phélan-Ségur"
"1444","Darcie Kent Vineyards"
"1445","Univitis"
"1446","Finca La Pica"
"1447","Château Saint-Urban"
"1448","Conde de Subirats"
"1449","Crayelle Cellars"
"1450","Domaine Beausejour"
"1451","Les Rocailles"
"1452","Niel Santofimia"
"1453","Producta Vignobles"
"1454","Silver Thread"
"1455","V. Sattui"
"1456","Biutiful"
"1457","Cap Royal"
"1458","Cave B"
"1459","Château Barreyre"
"1460","Château Laronde Désormes"
"1461","Château Los Boldos"
"1462","Château Roquevieille"
"1463","Domaine de la Sanglière"
"1464","Doña Isadora"
"1465","Ehret"
"1466","Château de Belcier"
"1467","Château des Tourtes"
"1468","Château Donjon de Bruignac"
"1469","Château Godard"
"1470","Château Haut Boilon"
"1471","Helix by Reininger"
"1472","Capanna"
"1473","Cellers Unió"
"1474","Château Haut Bertinerie"
"1475","Château Lalande-Borie"
"1476","Château Preuillac"
"1477","Koenig Vineyards"
"1478","Krutz"
"1479","Los Vencejos"
"1480","Amavi"
"1481","Bolsignano"
"1482","Bucher"
"1483","Uccelliera"
"1484","Villadoria"
"1485","Château Cos d'Estournel"
"1486","Château de Roquebrune"
"1487","Quinta do Casal Branco"
"1488","Jean-Marc Burgaud"
"1489","Jewelry Box"
"1490","Lanson"
"1491","Magnolia Court"
"1492","Mamarracho"
"1493","Mantel Blanco"
"1494","Red Rock"
"1495","Quinta da Lapa"
"1496","Castillo de Liria"
"1497","San Felipe"
"1498","Tarantas"
"1499","Domaine André Colonge"
"1500","Domaine Pral"
"1501","Espaço Rural"
"1502","François Lurton"
"1503","Limited by Cambridge Cellars"
"1504","Loron et Fils"
"1505","Adegas Moure"
"1506","Bocopa"
"1507","Cairdean Estate"
"1508","Cardwell Hill"
"1509","Viluko"
"1510","Alias"
"1511","Bodegas Paniza"
"1512","Bota Box"
"1513","Viña Arnáiz"
"1514","Good Harbor"
"1515","Kuehn"
"1516","Long Meadow Ranch"
"1517","Mario Bazán"
"1518","Medlock Ames"
"1519","Peirano"
"1520","Marilyn Sauvignon Blonde"
"1521","Zudugarai"
"1522","Cascada Peak"
"1523","Bouza de Carril"
"1524","Eresma"
"1525","Montevicor"
"1526","Maximo"
"1527","Witching Stick"
"1528","Heritage"
"1529","EdenVale"
"1530","Alto Cinco"
"1531","Black Box"
"1532","Hendry"
"1533","White Oak"
"1534","Merrill Cellars"
"1535","Château Beausejour-Duffau-Lagarrosse"
"1536","Château Clerc Milon"
"1537","Château Magdelaine"
"1538","Hundred Acre"
"1539","Monteverro"
"1540","Nefarious"
"1541","Castro Pena Alba"
"1542","Château de Pez"
"1543","Château Gruaud Larose"
"1544","Gérard Bertrand"
"1545","Terre del Marchesato"
"1546","Argiano"
"1547","Campo al Noce"
"1548","Chandon"
"1549","Château du Tertre"
"1550","Château La Conseillante"
"1551","Chester Kidder"
"1552","Patz & Hall"
"1553","Tenuta Monteti"
"1554","Angel Vine"
"1555","Lake Breeze"
"1556","Longview"
"1557","Villa Matilde"
"1558","Craneford"
"1559","Ponzi"
"1560","Razor's Edge"
"1561","Carlos Basso"
"1562","Daedalus"
"1563","Piattelli"
"1564","Strathewen Hills"
"1565","Ànima Negra"
"1566","Nugan Family Estates"
"1567","Shingleback"
"1568","Summerwood"
"1569","AntoLin Cellars"
"1570","Calicaro"
"1571","Caliterra"
"1572","Errazuriz"
"1573","Château Belrose"
"1574","Château de Lestiac"
"1575","Château les Mottes Pradier"
"1576","Cor Cellars"
"1577","Virna Borgogno"
"1578","Pezat"
"1579","Robert Oatley"
"1580","Shvo"
"1581","Stroppiana"
"1582","Château Grand Billard"
"1583","Anakena"
"1584","Cade"
"1585","Casa Rivas"
"1586","Waterbrook"
"1587","Château Macquin"
"1588","Hawks View"
"1589","Coghlan"
"1590","Collier Falls"
"1591","Dumas Station"
"1592","Mancura"
"1593","O•S Winery"
"1594","Purlieu"
"1595","SuLei"
"1596","Valle Secreto"
"1597","Binyamina"
"1598","Wild Horse"
"1599","Robert Perroud"
"1600","Stephanie"
"1601","Tenute Soletta"
"1602","The Gardener"
"1603","Turnbull"
"1604","Laroche"
"1605","Youngberg Hill Vineyards"
"1606","Château de Bordes-Quancard"
"1607","Château de Panigon"
"1608","Château de Raousset"
"1609","Château Tour des Gendres"
"1610","Cowhorn"
"1611","Leone de Castris"
"1612","Mastroberardino"
"1613","Pessagno"
"1614","Potomac Point"
"1615","Principi di Spadafora"
"1616","Renteria"
"1617","Signé Vigneron"
"1618","Felix Solis"
"1619","Marionette"
"1620","Wildewood"
"1621","Wunsch & Mann"
"1622","Ricominciare"
"1623","Chatham"
"1624","McIlroy"
"1625","Vino dei Fratelli"
"1626","Cave de Kientzheim-Kaysersberg"
"1627","Mureda"
"1628","Wine by Joe"
"1629","Wine with Spirit"
"1630","Sands Point"
"1631","Árido"
"1632","Arthur Metz"
"1633","Casa Rojo"
"1634","Cave de Cleebourg"
"1635","Rock Wall"
"1636","Sanglier Cellars"
"1637","Santa Barbara Winery"
"1638","Selva Capuzza"
"1639","Mezzacorona"
"1640","Montonale"
"1641","Olivi"
"1642","Publix"
"1643","Quinta de Porrais"
"1644","Star Angel by Montes"
"1645","Cantina del Castello"
"1646","Castelfeder"
"1647","Château Magondeau"
"1648","Drappier"
"1649","Falcone"
"1650","Fratelli Alessandria"
"1651","G D Vajra"
"1652","Gian Piero Marrone"
"1653","Grimaldi Bruna"
"1654","Kollwentz"
"1655","Zull"
"1656","Norbert Bauer"
"1657","Sawyer"
"1658","Sullivan"
"1659","Tenuta Arnulfo"
"1660","Tenuta Rocca"
"1661","Cascina Ballarin"
"1662","Cavalier Bartolomeo"
"1663","Damilano"
"1664","Giacomo Grimaldi"
"1665","Broman"
"1666","De Sousa & Fils"
"1667","Twisted Oak"
"1668","Waypoint"
"1669","Wild Oak by St. Francis"
"1670","Alma Rosa"
"1671","Vieux Château Gaubert"
"1672","Allegrini"
"1673","Balboa"
"1674","Château Pavillon Bel-Air"
"1675","Coeur d'Alene"
"1676","James Family Cellars"
"1677","Marchiori & Barraud"
"1678","Newsome-Harlow"
"1679","Peju"
"1680","Quivira"
"1681","Soutiran"
"1682","Tolloy"
"1683","Pighin"
"1684","Quinta de Serrade"
"1685","Racchus"
"1686","Sobon Estate"
"1687","Rocca Bernarda"
"1688","Stephen's"
"1689","Kenneth Volk"
"1690","Masottina"
"1691","Comelli"
"1692","Eugenio Collavini"
"1693","Folonari"
"1694","Brimstone"
"1695","Castello di Porcìa"
"1696","Château Calissanne"
"1697","Château du Galoupet"
"1698","Château Beauvillage"
"1699","Château Cap Léon Veyrin"
"1700","Gerovassiliou"
"1701","Firestone"
"1702","Alexandria Nicole"
"1703","Andis"
"1704","Anthony Nappa"
"1705","Château au Pont de Guitres"
"1706","Château Bellegrave du Poujeau"
"1707","Château Haut-Goujon"
"1708","Château La Fleur Plaisance"
"1709","Justin"
"1710","Leese-Fitch"
"1711","Obelisco Estate"
"1712","Ponchione Maurizio"
"1713","Freeman"
"1714","Carletto"
"1715","Codorníu"
"1716","2Plank"
"1717","Angove"
"1718","La Fiera"
"1719","Gorrebusto"
"1720","Château Kalon Nodoz"
"1721","L. Tramier & Fils"
"1722","Sonsierra"
"1723","South Stage"
"1724","Umani Ronchi"
"1725","Barba"
"1726","Quinta da Padrela"
"1727","La Catrina"
"1728","Bodegas Isidro Milagro"
"1729","Campos de Risca"
"1730","Casa Montes"
"1731","Kestrel"
"1732","Valori"
"1733","Castorani"
"1734","Lo Nuevo"
"1735","Wetzel Estate"
"1736","Kintonis"
"1737","La Crema"
"1738","La Folia Winery"
"1739","Matthews"
"1740","Monchiero"
"1741","Mt. Konocti Winery"
"1742","Muga"
"1743","Paraduxx"
"1744","Peter Paul Wines"
"1745","Pratsch"
"1746","Maria Casanovas"
"1747","E. Guigal"
"1748","Eduardo Garrido García"
"1749","Hart 2 Hart"
"1750","Leonetti Cellar"
"1751","Mirafiore"
"1752","Muddy Boot"
"1753","Osprey's Dominion"
"1754","Parducci"
"1755","Record Family Wines"
"1756","Sculpterra"
"1757","Red C"
"1758","Santi"
"1759","Terlato"
"1760","Thomas Fogarty"
"1761","Tines"
"1762","Lone Madrone"
"1763","Lucien Albrecht"
"1764","Merryvale"
"1765","Myka"
"1766","Paul Blanck"
"1767","Pieropan"
"1768","Jason-Stephens"
"1769","Kim Crawford"
"1770","Las Casas de Vacquería"
"1771","William Fèvre"
"1772","Zinke"
"1773","Hahn"
"1774","Columbia Crest"
"1775","Fulkerson"
"1776","Fornacina"
"1777","San Polino"
"1778","Máté"
"1779","Merry Edwards"
"1780","Molino di Sant'Antimo"
"1781","Native 9"
"1782","Podere Brizio"
"1783","Poggio Antico"
"1784","Mocali"
"1785","Pietranera"
"1786","Quattroventi"
"1787","Samsara"
"1788","Tenimenti Angelini"
"1789","Chronicle"
"1790","Collosorbo"
"1791","Domaine Leflaive"
"1792","Verbena"
"1793","Il Poggiolo E. Cosimi"
"1794","Kazmer & Blaise"
"1795","Mantra"
"1796","Turn Four"
"1797","Ballast Stone Estate Wines"
"1798","Cantine Sant'Agata"
"1799","Château la Tour de By"
"1800","Colle dei Venti"
"1801","La Chapelle de Potensac"
"1802","Salis 1637"
"1803","La Scolca"
"1804","Château Malescasse"
"1805","Proidl"
"1806","Seventy Five Wine Co."
"1807","Adobe Road"
"1808","Arrowood"
"1809","Vino z Czech"
"1810","Banshee Wines"
"1811","Bindi Sergardi"
"1812","Corte alla Flora"
"1813","Alpamanta"
"1814","Buena Vista"
"1815","Domaine Robert Klingenfus"
"1816","Dominican Oaks"
"1817","Emerson"
"1818","Fattoria di Montecchio"
"1819","Girardet"
"1820","Damalisco"
"1821","Hill Wine Company"
"1822","Vignavecchia"
"1823","Casarena"
"1824","Ciringa"
"1825","La Calonica"
"1826","Lingenfelder"
"1827","Novy"
"1828","Edmonds Winery"
"1829","Fitz-Ritter"
"1830","Georg Mosbacher"
"1831","Highlands"
"1832","Vergelegen"
"1833","Camigliano"
"1834","Château Dutruch Grand Poujeaux"
"1835","Ciacci Piccolomini d'Aragona"
"1836","Crane Brothers"
"1837","García Figuero"
"1838","Geh. Rat Dr. von Bassermann-Jordan"
"1839","Picardy"
"1840","Tenuta La Fuga"
"1841","Tiezzi"
"1842","Trinchero"
"1843","Borgo Scopeto"
"1844","Canalicchio Franco Pacenti"
"1845","Château de la Roulerie"
"1846","Château la Croix de Roche"
"1847","Château Les Hauts de Palette"
"1848","Château Montlanderie"
"1849","Château Roc Montalon"
"1850","Château Saint-Pierre"
"1851","Angel's Cup"
"1852","Arbéta"
"1853","Atwater"
"1854","Balduzzi"
"1855","Cave de Saumur"
"1856","Hawk Watch Winery"
"1857","La Purísima"
"1858","Two Vines"
"1859","Viña Casas Patronales"
"1860","Ministry of the Vinterior"
"1861","Montes"
"1862","One Leaf"
"1863","Sagelands"
"1864","Santa Luz"
"1865","Johnson Estate"
"1866","Koz"
"1867","Le Roi des Pierres"
"1868","McFadden"
"1869","Ardiri Winery and Vineyards"
"1870","Canoe Ridge"
"1871","Villa Rinaldi"
"1872","Jefferson Vineyards"
"1873","Canihan"
"1874","Finca Albret"
"1875","Collection 35"
"1876","Domaines Devillard"
"1877","Domenico Fraccaroli"
"1878","Foyt Family"
"1879","Giefing"
"1880","Novelty Hill"
"1881","Scarborough"
"1882","Trabucchi d'Illasi"
"1883","Hogue"
"1884","Manara"
"1885","Montecariano"
"1886","Airfield Estates"
"1887","Antica Corte"
"1888","Fabbioli Cellars"
"1889","Biltmore Estate"
"1890","Casa Santos Lima"
"1891","Caves Transmontanas"
"1892","Caves Velhas"
"1893","Deaver"
"1894","Domaine Campu Vecchiu"
"1895","Domaine Girard"
"1896","Domaine les Hautes Noëlles"
"1897","Quinta da Ribeirinha"
"1898","Quinta do Vale Meão"
"1899","Quinta Nova de Nossa Senhora do Carmo"
"1900","Ransom"
"1901","Rui Roboredo Madeira"
"1902","Simple Machine"
"1903","Ten Sisters"
"1904","Tenuta Rapitalà"
"1905","Uptick Vineyards"
"1906","Wild Thing"
"1907","Torrevento"
"1908","Derby"
"1909","Di Majo Norante"
"1910","Bonavita"
"1911","Château de Pizay"
"1912","Château Marac"
"1913","Lomas del Valle"
"1914","Miali"
"1915","Newman's Own"
"1916","Pearmund"
"1917","Di Filippo"
"1918","Domaine Carneros"
"1919","Jamieson Ranch"
"1920","Knudsen"
"1921","Cantina della Volta"
"1922","Cantina Fratelli Pardi"
"1923","Rancho Zabaco"
"1924","Romanelli"
"1925","Principe Pallavicini"
"1926","Thurston Wolfe"
"1927","Two Mountain"
"1928","Alder Springs"
"1929","Borra"
"1930","Capanne Ricci"
"1931","Chalk Hill"
"1932","Château Giscours"
"1933","Château Laforge"
"1934","Château Larrivaux"
"1935","Château Picque Caillou"
"1936","Château Rollan de By"
"1937","Château Teyssier"
"1938","Château Tour de Pez"
"1939","Delgado Zuleta"
"1940","Hansen Cellars"
"1941","Line 39"
"1942","McGrail"
"1943","Clos Pegase"
"1944","Comartin"
"1945","Covenant"
"1946","Domaine Degher"
"1947","Davino"
"1948","Hidden Jewel"
"1949","Joseph Drouhin"
"1950","La Cappuccina"
"1951","Lis Neris"
"1952","Domaine Zinck"
"1953","Domeniile Panciu"
"1954","Altvs"
"1955","Archium"
"1956","Asuncion Ridge"
"1957","Paul Hobbs"
"1958","Artadi"
"1959","Aurelio Settimo"
"1960","Giacomo Fenocchio"
"1961","Giovanni Rosso"
"1962","Rizzi"
"1963","Le Strette"
"1964","Marimar Estate"
"1965","Roccheviberti"
"1966","Cordero di Montezemolo"
"1967","Barale Fratelli"
"1968","Paolo Scavino"
"1969","Pio Cesare"
"1970","Rivetto"
"1971","Matanzas Creek"
"1972","Nastl"
"1973","Nigl"
"1974","Patland"
"1975","Proelio"
"1976","Quartz Reef"
"1977","Jekel"
"1978","Trus"
"1979","Jaffurs"
"1980","Gibbs"
"1981","Le Senate"
"1982","Michel & Stéphane Ogier"
"1983","Betwixt"
"1984","Brancott"
"1985","The Dot"
"1986","Ramón Bilbao"
"1987","Salcis"
"1988","San Simeon"
"1989","Avant"
"1990","Brick & Mortar"
"1991","One"
"1992","Pace"
"1993","Waipara Hills"
"1994","Two Moons"
"1995","Valle dell'Acate"
"1996","Volatus"
"1997","Zocker"
"1998","Hannes Reeh"
"1999","Hightower"
"2000","Full Pull & Friends"
"2001","Genoa"
"2002","Pala"
"2003","Basilisco"
"2004","Bontzu"
"2005","Burrell School Vineyards"
"2006","Stottle"
"2007","àMaurice"
"2008","Charthia"
"2009","Château de Chantegrive"
"2010","F X Pichler"
"2011","Frankland Estate"
"2012","A. Christmann"
"2013","Hope Estate"
"2014","Hirsch"
"2015","Pelter"
"2016","Peter Nicolay"
"2017","Rheingraf"
"2018","La Clarine Farm"
"2019","Maldonado"
"2020","Ochagavia"
"2021","Bougetz"
"2022","West Cape Howe"
"2023","William Church"
"2024","Karl Kaspar"
"2025","Black Swan"
"2026","Funky Llama"
"2027","Borgo di Colloredo"
"2028","Alba"
"2029","Congress Springs"
"2030","Jenica Peak"
"2031","Norman"
"2032","Mazzocco"
"2033","Four Vines"
"2034","Hesketh"
"2035","Avignonesi"
"2036","Borges"
"2037","Caccia al Piano 1868"
"2038","Château Haut-Peyrous"
"2039","Château Lafleur-Gazin"
"2040","Château Lieujean"
"2041","Château Liversan"
"2042","J. Rickards"
"2043","Jansz"
"2044","Antiyal"
"2045","Liberty School"
"2046","Quinta do Cavalinho"
"2047","Rozes"
"2048","Casa di Terra"
"2049","Château d'Angludet"
"2050","Château Soutard"
"2051","Château Tour de Lagarde"
"2052","Conte Ferdinando Guicciardini"
"2053","Donna Olimpia 1898"
"2054","Zymè"
"2055","Howell Mountain Vineyards"
"2056","J. Bookwalter"
"2057","Januik"
"2058","Venturini Massimino"
"2059","Frazier"
"2060","Domaine Cabirau"
"2061","Frias"
"2062","Orentano"
"2063","Riglos"
"2064","Les Villages de Terroir Catalan"
"2065","Keller Estate"
"2066","Melville"
"2067","Bravium"
"2068","Antonin Rodet"
"2069","Bodegas Muriel"
"2070","Heidi Schröck"
"2071","Damien et Romain Bouchard"
"2072","Eponymous"
"2073","Gloria Ferrer"
"2074","Hall"
"2075","Geretto"
"2076","Lolonis"
"2077","River Road"
"2078","Santa Ines"
"2079","Signorello"
"2080","Silver"
"2081","Bortoluzzi"
"2082","Château La Joya"
"2083","Two Brothers"
"2084","Viña Santa Monica"
"2085","Wolff"
"2086","Girolamo Dorigo"
"2087","Opolo"
"2088","Savannah-Chanelle"
"2089","Merk"
"2090","Pradio"
"2091","Union de Vignerons de l'Île de Beauté"
"2092","Van Ruiten"
"2093","Vignobles Bonhur"
"2094","Viña Otano"
"2095","MandraRossa"
"2096","Joseph Filippi"
"2097","Le Petit Cochonnet"
"2098","Terredora"
"2099","Tortoise Creek"
"2100","Vermeil"
"2101","Viña Maipo"
"2102","Woodbridge by Robert Mondavi"
"2103","Viñedos y Bodegas Pablo"
"2104","Echeverria"
"2105","Famille Hauller"
"2106","Black Stallion"
"2107","Bodega Volcanes de Chile"
"2108","Campellares"
"2109","Château Côte Montpezat"
"2110","Château Léon"
"2111","Agricola Bellaria"
"2112","Nica"
"2113","Rio Madre"
"2114","Rios de Chile"
"2115","Loma Larga"
"2116","Los Portales"
"2117","Maison Nicolas"
"2118","Montebuena"
"2119","Rayun"
"2120","Housley's Century Oak"
"2121","Twisted"
"2122","Valtravieso"
"2123","Château Laubès"
"2124","Four Sisters Ranch"
"2125","Frei Brothers"
"2126","Albamar"
"2127","Indomita"
"2128","Loft"
"2129","Kunza"
"2130","Herdade dos Machados"
"2131","Pazzo"
"2132","Quinta de Gomariz"
"2133","Sean Minor"
"2134","Lost Angel"
"2135","Monte Seis Reis"
"2136","Barton & Guestier"
"2137","Twisted Sisters"
"2138","Vignobles Garrigae"
"2139","Plungerhead"
"2140","Rare"
"2141","Stephen Ross"
"2142","LoveThisLife"
"2143","Agricola Pugliano"
"2144","Bodegas Ribón"
"2145","Boudreaux Cellars"
"2146","Le Casalte"
"2147",":Nota Bene"
"2148","Oakville Winery"
"2149","Kennedy Shah"
"2150","Le Fonti a San Giorgio"
"2151","Astorre Noti"
"2152","Attis"
"2153","Bodegas Riolanc"
"2154","Bonacchi"
"2155","Cave du Marmandais"
"2156","Charles & Charles"
"2157","Château Anniche"
"2158","Château Bel Air"
"2159","Château de Parenchère"
"2160","Château Guichot"
"2161","Château Lary"
"2162","Château Maison Noble"
"2163","Coli"
"2164","Bench"
"2165","Campo di Sasso"
"2166","Château de la Terrière"
"2167","Cottesbrook"
"2168","Disruption"
"2169","Fattoria La Striscia"
"2170","Great American Wine Company"
"2171","Guicciardini Strozzi"
"2172","Happy Camper"
"2173","Il Palagio"
"2174","Marietta Cellars"
"2175","Val delle Rose"
"2176","Valle Hermoso"
"2177","Baccinetti"
"2178","Ryan Patrick"
"2179","Sangervasio"
"2180","Scaranto"
"2181","Ste. Chapelle"
"2182","Tolaini"
"2183","Vanderbilt"
"2184","Protos"
"2185","RN Estate"
"2186","Bjornstad"
"2187","Chase"
"2188","Château la Varière"
"2189","Contadi Castaldi"
"2190","Ken Wright"
"2191","Whitcraft"
"2192","Nicora"
"2193","Black Kite"
"2194","Château Lagrézette"
"2195","Château Saint-Didier-Parnac"
"2196","Domaine de Cause"
"2197","Losada"
"2198","Manuel Olivier"
"2199","Windy Bay"
"2200","Vignerons de Buxy"
"2201","Villa Girardi"
"2202","Pagos del Rey"
"2203","Quinta de Covela"
"2204","Ricci Curbastro"
"2205","Foris"
"2206","Vega Sindoa"
"2207","Il Mosnel"
"2208","Jaffelin"
"2209","Jean-Luc and Paul Aegerter"
"2210","Lealtanza"
"2211","Aldonia"
"2212","Altemasi"
"2213","Cellers Baronia del Montsant"
"2214","Benziger"
"2215","Herdade do Rocim"
"2216","Le Bertarole"
"2217","Augusta Winery"
"2218","Pulenta Estate"
"2219","Williamson Wines"
"2220","Mendocino Farms"
"2221","Messina Hof"
"2222","La Chiripada"
"2223","Howling Moon"
"2224","La Storia"
"2225","Luigi Bosca"
"2226","Pahrump Valley Winery"
"2227","Three Fox"
"2228","Castello di Borghese"
"2229","Doña Paula"
"2230","Gilbert Cellars"
"2231","Glenora"
"2232","Woolundry Rd"
"2233","Anam Cara"
"2234","Archery Summit"
"2235","Cartlidge & Browne"
"2236","Ceravolo"
"2237","Leeuwin Estate"
"2238","Parkers Estate"
"2239","Pearson Vineyards"
"2240","Campos Góticos"
"2241","Frostwatch"
"2242","Vinos Sanz"
"2243","Red Mud"
"2244","Castoro Cellars"
