"","variety","winery","region_1","region_2","province","designation","country"
"936","Zinfandel","Tres Sabores","Rutherford","Napa","California","Perspective Estate","US"
"937","Pinot Noir","Williams Selyem","Sonoma Coast","Sonoma","California","Terra De Promissio Vineyard","US"
"938","Syrah","Cayuse","Walla Walla Valley (OR)","Oregon Other","Oregon","Cailloux Vineyard","US"
"939","Cabernet Franc","Chappellet","Napa Valley","Napa","California","","US"
"940","Port","Churchill's","","","Port","Quinta da Gricha Vintage","Portugal"
"941","Pinot Noir","Dion","Chehalem Mountains","Willamette Valley","Oregon","Old Vines","US"
"942","Pinot Noir","Domaine Bernard Fleuriet et Fils","Sancerre","","Loire Valley","Anthocyane","France"
"943","Pinot Noir","Drouhin Oregon Roserock","Eola-Amity Hills","Willamette Valley","Oregon","Zéphirine","US"
"944","Red Blend","Santa Alicia","","","Maipo Valley","Millantu","Chile"
"945","Chardonnay","Rutherford Ranch","Napa Valley","Napa","California","","US"
"946","Chardonnay","Weixelbaum","","","Niederösterreich","Wahre Werte Beerenauslese","Austria"
"947","Chardonnay","Landmark","Sonoma Coast","Sonoma","California","Charles Heintz Vineyard","US"
"948","Sauvignon Blanc","Mercer","Yakima Valley","Columbia Valley","Washington","","US"
"949","Syrah","Michel Gassier","Costières de Nîmes","","Rhône Valley","Les Piliers","France"
"950","Nebbiolo","Nada Fiorenzo","Langhe","","Piedmont","","Italy"
"951","Cabernet Franc","Barrage Cellars","Yakima Valley","Columbia Valley","Washington","Outcast","US"
"952","Rhône-style Red Blend","Bonny Doon","Central Coast","Central Coast","California","Le Cigare Volant","US"
"953","Tempranillo","Casajús","Ribera del Duero","","Northern Spain","Antiguos Viñedos","Spain"
"954","Sparkling Blend","Castellroig","Cava","","Catalonia","Reserva Brut Nature","Spain"
"955","Rhône-style Red Blend","Château d'Or et de Gueules","Costières de Nîmes","","Rhône Valley","Les Cimels","France"
"956","Sangiovese","Citille di Sopra","Rosso di Montalcino","","Tuscany","","Italy"
"957","Tempranillo","Condado de Oriza","Ribera del Duero","","Northern Spain","Reserva","Spain"
"958","Merlot","Cookies & Cream","California","California Other","California","","US"
"959","Zinfandel","Daou","Paso Robles","Central Coast","California","Reserve","US"
"960","Red Blend","Dei","Rosso di Montepulciano","","Tuscany","","Italy"
"961","White Blend","Domaine de Gensac","Gers","","Southwest France","Quadrille","France"
"962","Sparkling Blend","Domaine Rolet Père et Fils","Crémant de Jura","","France Other","Brut","France"
"963","Duras","Domaine Rotier","Vin de Liqueur","","France Other","Noces de Feu","France"
"964","Riesling","Three Brothers","Seneca Lake","Finger Lakes","New York","Zero Degree Dry","US"
"965","Pinot Gris","Wilridge","Naches Heights","Columbia Valley","Washington","Dessert Wine Estate Wilridge Vineyard","US"
"966","Pinot Noir","Belden Barns","Sonoma Mountain","Sonoma","California","Estate Grown","US"
"967","Bordeaux-style Red Blend","Château du Retout","Haut-Médoc","","Bordeaux","","France"
"968","Bordeaux-style Red Blend","Château la Gravette Lacombe","Médoc","","Bordeaux","","France"
"969","Bordeaux-style Red Blend","Château Méric","Médoc","","Bordeaux","","France"
"970","Cabernet Sauvignon","In Re","Napa Valley","Napa","California","You be the judge!","US"
"971","Sauvignon Blanc","Chasing Venus","","","Marlborough","","New Zealand"
"972","Bordeaux-style Red Blend","Château les Joyeuses","Bordeaux","","Bordeaux","","France"
"973","Bordeaux-style Red Blend","Château Monfort Bellevue","Médoc","","Bordeaux","","France"
"974","Bordeaux-style Red Blend","Château Vrai Caillou","Bordeaux Supérieur","","Bordeaux","","France"
"975","Sauvignon Blanc","Concha y Toro","","","Chile","Reserva Casillero del Diablo","Chile"
"976","Red Blend","Experience","Napa Valley","Napa","California","","US"
"977","Nero d'Avola","Cantine Grasso","Terre Siciliane","","Sicily & Sardinia","","Italy"
"978","Cabernet Sauvignon","Madrigal","Napa Valley","Napa","California","Las Viñas del Señor","US"
"979","Chardonnay","Millbrook","Hudson River Region","New York Other","New York","Proprietor's Special Reserve","US"
"980","Chardonnay","Santa Rita","","","Leyda Valley","Medalla Real Gran Reserva","Chile"
"981","Chardonnay","Scotto Family Cellars","Lodi","Central Valley","California","","US"
"982","Zinfandel","Spicy Vines","Mendocino","","California","Sacrlet's Flirtation","US"
"983","Bordeaux-style Red Blend","Les Vignerons Réunis de Monségur","Bordeaux","","Bordeaux","La Tour du Gouverneur","France"
"984","Rosato","Nugnes","Campania","","Southern Italy","","Italy"
"985","Bordeaux-style Red Blend","Château les Lattes","Médoc","","Bordeaux","","France"
"986","White Blend","Ports of New York","New York","New York Other","New York","Meleau White Specialty Wine","US"
"987","Red Blend","Whitman Cellars","Columbia Valley (WA)","Columbia Valley","Washington","Narcissa Red","US"
"988","Weissburgunder","Winkler-Hermaden","","","Südoststeiermark","Steierische Klassik","Austria"
"989","Shiraz","Fire Block","Clare Valley","","South Australia","Old Vine","Australia"
"990","Roditis","Palivou","","","Corinth","White Fox","Greece"
"991","Grüner Veltliner","Felsner","","","Kremstal","Rohrendorfer Leithen Alte Reben","Austria"
"992","Petite Sirah","Gemella","Mendocino","","California","L'Anima","US"
"993","White Blend","Tsantali","","","Halkidiki","Ambelonas at Agios Pavlos","Greece"
"994","Prosecco","Bisol","Prosecco del Veneto","","Veneto","Desiderio Jeio Brut","Italy"
"995","Prosecco","Carmina","Prosecco di Conegliano","","Veneto","Extra Dry","Italy"
"996","Prosecco","Carpenè Malvolti","Prosecco di Conegliano","","Veneto","Cuvée Oro Dry","Italy"
"997","Prosecco","Col Saliz","Prosecco di Valdobbiadene","","Veneto","Servo Suo Dry Vendemmia Tardiva","Italy"
"998","Cabernet Sauvignon","Ghost Pines","Napa-Sonoma","Napa-Sonoma","California","","US"
"999","Merlot","Wellington","Sonoma Valley","Sonoma","California","Estate","US"
"1000","Prosecco","Zonin","Prosecco del Veneto","","Veneto","Special Cuvée Brut","Italy"
"1001","Bordeaux-style Red Blend","Lost River","Columbia Valley (WA)","Columbia Valley","Washington","Cedarosa","US"
"1002","Prosecco","Toffoli","Prosecco del Veneto","","Veneto","Millesimato Extra Brut","Italy"
"1003","Chardonnay","Trapiche","Mendoza","","Mendoza Province","Broquel","Argentina"
"1004","Riesling","Louis Guntrum","","","Rheinhessen","Niersteiner Bergkirche Kabinett","Germany"
"1005","Pinot Noir","Pali","Sonoma Coast","Sonoma","California","Durell Vineyard","US"
"1006","Pinot Noir","Robert Stemmler","Russian River Valley","Sonoma","California","Nugent Vineyard","US"
"1007","Merlot","Rutini","Mendoza","","Mendoza Province","Trumpeter","Argentina"
"1008","Grüner Veltliner","Schloss Halbturn","","","Burgenland","Koenigsegg Velt. 1","Austria"
"1009","Cabernet Sauvignon","Zolo","Valle de Uco","","Mendoza Province","Reserve Estate Grown","Argentina"
"1010","Sparkling Blend","Bailly-Lapierre","Crémant de Bourgogne","","Burgundy","La Burgondie Rosé Brut","France"
"1011","Pinot Gris","Balo","Anderson Valley","","California","","US"
"1012","Nebbiolo","Boasso","Barolo","","Piedmont","Margheria","Italy"
"1013","Nebbiolo","Broccardo","Barolo","","Piedmont","I Tre Pais","Italy"
"1014","Portuguese Red","Casa Agricola Santos Jorge","","","Alentejo","Herdade dos Machados Reserva","Portugal"
"1015","Chardonnay","Cave des Vignerons de Buxy","Mâcon-Villages","","Burgundy","","France"
"1016","Papaskarasi","Chamlija","","","Thrace","","Turkey"
"1017","Chardonnay","Château de Fuissé","Saint-Véran","","Burgundy","","France"
"1018","Chardonnay","Château de Santenay","Chassagne-Montrachet","","Burgundy","","France"
"1019","Chardonnay","Chime","California","California Other","California","","US"
"1020","Chardonnay","Christophe Cordier","Pouilly-Fuissé","","Burgundy","Vers Cras","France"
"1021","Tannat-Syrah","Famille Laplace","Vin de France","","France Other","Aramis Rouge Tannat-Syrah","France"
"1022","Malbec","Finca Lalande","Mendoza","","Mendoza Province","","Argentina"
"1023","Malbec","Altos Las Hormigas","Mendoza","","Mendoza Province","Appellation Gualtallary","Argentina"
"1024","Chardonnay","Aubichon Cellars","Willamette Valley","Willamette Valley","Oregon","","US"
"1025","Marsanne-Roussanne","Ben Haines","Goulburn Valley","","Victoria","B Minor","Australia"
"1026","Riesling","Blue Fish","","","Pfalz","Original","Germany"
"1027","Chardonnay","Bouchard Père & Fils","Pouilly-Fuissé","","Burgundy","","France"
"1028","Zinfandel","Cambridge & Sunset","California","California Other","California","California Series","US"
"1029","Nebbiolo","Cascina Chicco","Barolo","","Piedmont","Rocche di Castelletto","Italy"
"1030","Portuguese Red","Quinta da Foz","","","Douro","Reserva","Portugal"
"1031","Bordeaux-style Red Blend","Tamber Bey","Yountville","Napa","California","Vermejo Deux Chevaux Vineyard","US"
"1032","Pinot Noir","Tantara","Santa Maria Valley","Central Coast","California","Dierberg","US"
"1033","Pinot Noir","Westerly","Sta. Rita Hills","Central Coast","California","","US"
"1034","Sauvignon Blanc","Aesthete","Bennett Valley","Sonoma","California","Dry Stack Vineyard","US"
"1035","Portuguese Red","Bacalhôa Wines of Portugal","","","Douro","Quinta dos Quatros Ventos","Portugal"
"1036","Syrah","Barton","Paso Robles Willow Creek District","Central Coast","California","Paradise City","US"
"1037","Barbera","Bava","","","Piedmont","Piano Alto","Italy"
"1038","Verdicchio","Bucci","Verdicchio dei Castelli di Jesi Classico","","Central Italy","Villa Bucci Riserva","Italy"
"1039","Syrah","Central Coast Group Project","Santa Barbara County","Central Coast","California","Fauve Thompson Vineyard","US"
"1040","Bordeaux-style Red Blend","Château Tour Grand Faurie","Saint-Émilion","","Bordeaux","","France"
"1041","Syrah","Hecho por Ruben","Ballard Canyon","Central Coast","California","","US"
"1042","Portuguese Red","J. Portugal Ramos","","","Alentejo","Marquês de Borba Reserva","Portugal"
"1043","Charbono","Judd's Hill","Suisun Valley","North Coast","California","","US"
"1044","Chardonnay","Longboard","Russian River Valley","Sonoma","California","Rochioli Vineyard","US"
"1045","Pinot Noir","Piro","Santa Maria Valley","Central Coast","California","Points West","US"
"1046","Pinot Noir","Point & Line","Sta. Rita Hills","Central Coast","California","Reserve","US"
"1047","Portuguese Red","Secret Spot Wines","","","Douro","Crooked Vines Colheita","Portugal"
"1048","Red Blend","White Hart Wine","Monterey","Central Coast","California","Vasthoudend","US"
"1049","Pinot Noir","Balletto","Russian River Valley","Sonoma","California","Sexton Hill Vineyard Estate Grown Estate Bottled","US"
"1050","Pinot Noir","Bien Nacido","Santa Maria Valley","Central Coast","California","","US"
"1051","Red Blend","Bodega de Edgar","Central Coast","Central Coast","California","Toro de Paso","US"
"1052","Sangiovese","Agricoltori del Chianti Geografico","Chianti Classico","","Tuscany","Geografico","Italy"
"1053","Bordeaux-style Red Blend","Barrière Frères","Bordeaux","","Bordeaux","Jacques Sans Souci","France"
"1054","Sangiovese","Castellare di Castellina","Chianti Classico","","Tuscany","Riserva","Italy"
"1055","Bordeaux-style Red Blend","Château la Grande Barthe","Montagne-Saint-Émilion","","Bordeaux","","France"
"1056","Chardonnay","Danie de Wet","","","Robertson","Limestone Hill","South Africa"
"1057","Pinot Blanc","Dr. Wehrheim","","","Pfalz","Buntsandstein Weisser Burgunder Kabinett Trocken","Germany"
"1058","Bordeaux-style Red Blend","Erba","Napa Valley","Napa","California","Mountainside Vineyards Proprietary Red Wine","US"
"1059","Sauvignon Blanc","Mulderbosch","","","Stellenbosch","Noble Late Harvest","South Africa"
"1060","Cabernet Sauvignon","Provenance Vineyards","Rutherford","Napa","California","","US"
"1061","Sauvignon Blanc","Rietvallei Estate Wine","","","Robertson","","South Africa"
"1062","Red Blend","Sol Duc","Columbia Valley (WA)","Columbia Valley","Washington","Goose Ridge Estate Vineyard Meritage Red Wine","US"
"1063","Red Blend","Horan Estates","Columbia Valley (WA)","Columbia Valley","Washington","HVH Red Blend","US"
"1064","Sangiovese","Lamole di Lamole","Chianti Classico","","Tuscany","Riserva","Italy"
"1065","Riesling","Leo","","","Pfalz","X-treme","Germany"
"1066","Silvaner","Villa Wolf","","","Pfalz","","Germany"
"1067","Chardonnay","Washington Hills","Washington","Washington Other","Washington","","US"
"1068","Merlot","Guardian Peak","","","Stellenbosch","","South Africa"
"1069","Tempranillo","Cameron Hughes","Rioja","","Northern Spain","Lot 93","Spain"
"1070","Sangiovese Grosso","Caparzo","Brunello di Montalcino","","Tuscany","Vigna La Casa","Italy"
"1071","Tempranillo","Venta Morales","La Mancha","","Central Spain","","Spain"
"1072","White Blend","Firriato","Sicilia","","Sicily & Sardinia","Santagostino Baglio Sorìa","Italy"
"1073","Red Blend","Fondo Antico","Sicilia","","Sicily & Sardinia","I Versi","Italy"
"1074","Viognier","Hannah Nicole Vineyards","Contra Costa County","Central Coast","California","","US"
"1075","Riesling","Hosmer","Cayuga Lake","Finger Lakes","New York","","US"
"1076","Pinot Noir","Ancient Oak Cellars","Russian River Valley","Sonoma","California","Siebert Ranch","US"
"1077","Merlot-Argaman","Barkan","","","Dan","Classic","Israel"
"1078","Riesling","Black Star Farms","Michigan","","Michigan","Arcturos","US"
"1079","Cabernet Franc","Cosentino","California","California Other","California","The Franc","US"
"1080","Albariño","Lusco","Rías Baixas","","Galicia","","Spain"
"1081","Cabernet Sauvignon","Markham","Napa Valley","Napa","California","","US"
"1082","Petite Sirah","Michael David","Lodi","Central Valley","California","Earthquake","US"
"1083","Nero d'Avola","Maggiovini","Sicilia","","Sicily & Sardinia","Pithoi","Italy"
"1084","Chardonnay","La Merika","Russian River Valley","Sonoma","California","","US"
"1085","Chardonnay","Masseria del Feudo Grottarossa","Sicilia","","Sicily & Sardinia","Haermosa","Italy"
"1086","Merlot","Napa Family Vineyards","Napa Valley","Napa","California","","US"
"1087","Cabernet Sauvignon","Petroni","Sonoma Valley","Sonoma","California","Estate Grown","US"
"1088","Nero d'Avola","Resonata","Sicilia","","Sicily & Sardinia","","Italy"
"1089","Tempranillo","Bodegas Fontana","Uclés","","Central Spain","Mesta","Spain"
"1090","Tempranillo","Bodegas Peñafiel","Ribera del Duero","","Northern Spain","Miros de Ribera Crianza","Spain"
"1091","Riesling","Brotherhood","New York","New York Other","New York","","US"
"1092","Chardonnay","Cave de Lugny","Mâcon-Villages","","Burgundy","L'Aurore","France"
"1093","Pinot Noir","Dashwood","","","Marlborough","","New Zealand"
"1094","Greco","Feudi di San Gregorio","Greco di Tufo","","Southern Italy","","Italy"
"1095","Cabernet Sauvignon","Ghost Waltz","Sonoma County","Sonoma","California","","US"
"1096","Red Blend","Griesbauerhof","Alto Adige","","Northeastern Italy","St. Magdalener Classico","Italy"
"1097","Riesling","Gustav Adolf Schmitt","","","Rheinhessen","Niersteiner Auflangen Spätlese","Germany"
"1098","Pinot Nero","Cantina Produttori San Michele Appiano","Alto Adige","","Northeastern Italy","Sanct Valentin","Italy"
"1099","Sauvignon","Cembra","Trentino","","Northeastern Italy","","Italy"
"1100","Cabernet Sauvignon","Cliff Lede","Stags Leap District","Napa","California","","US"
"1101","Red Blend","Clos Figueras","Priorat","","Catalonia","Serras del Priorat","Spain"
"1102","Chardonnay","Consilience","Santa Barbara County","Central Coast","California","","US"
"1103","Melon","Domaines Landron","Muscadet Sèvre et Maine","","Loire Valley","La Louvetrie Sur Lie","France"
"1104","Prié Blanc","Cave du Vin Blanc de Morgex et de la Salle","Valle d'Aosta","","Northwestern Italy","Tradizionale Blanc de Morgex et de La Salle","Italy"
"1105","Syrah","Cedar Creek","Fair Play","Sierra Foothills","California","Estate Grown","US"
"1106","Pinot Nero","Colterenzio","Alto Adige","","Northeastern Italy","Cornell Villa Nigra","Italy"
"1107","Chardonnay","Demetria","Santa Barbara County","Central Coast","California","","US"
"1108","Sauvignon Blanc","Domaine de l'Ermitage","Menetou-Salon","","Loire Valley","","France"
"1109","Sauvignon Blanc","Domaine de Rome","Sancerre","","Loire Valley","","France"
"1110","Riesling","Domdechant Werner","","","Rheingau","Hochheimer Hölle Kabinett Trocken","Germany"
"1111","Riesling","Dr. Fischer","","","Mosel","Ockfener Bockstein Kabinett","Germany"
"1112","Sherry","Osborne","Jerez","","Andalucia","Cream","Spain"
"1113","Cabernet Sauvignon","Pinord","Penedès","","Catalonia","Chateldon Reserva","Spain"
"1114","Portuguese White","Quintas de Melgaço","","","Vinho Verde","Torre de Menagem Escolha","Portugal"
"1115","Zinfandel","Rosenblum","Sonoma Valley","Sonoma","California","Monte Rosso Vineyard","US"
"1116","Chardonnay","Summers","Alexander Valley","Sonoma","California","Stuhlmuller Vineyards Reserve","US"
"1117","Pinot Nero","Tiefenbrunner","Alto Adige","","Northeastern Italy","Linticlarus Riserva","Italy"
"1118","Pinot Nero","Tramin","Alto Adige","","Northeastern Italy","","Italy"
"1119","Greco","Vesevo","Greco di Tufo","","Southern Italy","","Italy"
"1120","Petite Sirah","Viszlay Vineyards","Russian River Valley","Sonoma","California","Estate","US"
"1121","Sauvignon Blanc","Yealands","","","Awatere Valley","Single Vineyard","New Zealand"
"1122","White Blend","Zahel","","","Wiener Gemischter Satz","","Austria"
"1123","Sparkling Blend","Albet I Noya","Penedès","","Catalonia","Brut Natural Reserva","Spain"
"1124","Grüner Veltliner","Allram","","","Kamptal","Strassertaler","Austria"
"1125","Sparkling Blend","Alta Alella","Cava","","Catalonia","Privat Gran Reserva Brut Nature","Spain"
"1126","Syrah","Ampelos","Sta. Rita Hills","Central Coast","California","Ampelos Vineyard","US"
"1127","Syrah","Ascencion","Paso Robles","Central Coast","California","Mayhem","US"
"1128","Viura","Baigorri","Rioja","","Northern Spain","Blanco Fermentado en Barrica","Spain"
"1129","Pinot Noir","Challen","Sta. Rita Hills","Central Coast","California","Scarlett","US"
"1130","Red Blend","Château Coutinel","Fronton","","Southwest France","","France"
"1131","Provence red blend","Château Grand Boise","Côtes de Provence Sainte-Victoire","","Provence","","France"
"1132","Bordeaux-style Red Blend","Château le Payral","Bergerac","","Southwest France","","France"
"1133","Tannat","Clos Fardet","Madiran","","Southwest France","","France"
"1134","Syrah","Crux","Russian River Valley","Sonoma","California","","US"
"1135","Sauvignon Blanc","Damiani","Finger Lakes","Finger Lakes","New York","Little Lotus Flower","US"
"1136","Greco","Di Meo","Greco di Tufo","","Southern Italy","","Italy"
"1137","Rosé","Domaine Clos Gautier","Côtes de Provence","","Provence","Oser","France"
"1138","Rosé","Domaine Harmonie des Arpents","Coteaux Varois en Provence","","Provence","","France"
"1139","Grüner Veltliner","Domäne Wachau","","","Wachau","Terrassen Federspiel","Austria"
"1140","Cabernet Sauvignon","Doren","Sonoma Valley","Sonoma","California","","US"
"1141","Rhône-style Red Blend","Écluse","Paso Robles","Central Coast","California","Rendition","US"
"1142","Viognier","Grizzly Peak","Rogue Valley","Southern Oregon","Oregon","","US"
"1143","Rosato","Villa Mottura","Salento","","Southern Italy","Le Pitre","Italy"
"1144","Riesling","14 Hands","Washington","Washington Other","Washington","","US"
"1145","Zibibbo","Barraco","Sicilia","","Sicily & Sardinia","","Italy"
"1146","Falanghina","Capolino Perlingieri","Sannio","","Southern Italy","Preta","Italy"
"1147","Bordeaux-style Red Blend","Château Bois Noir","Bordeaux Supérieur","","Bordeaux","","France"
"1148","Bordeaux-style Red Blend","Château du Moulin Rouge","Haut-Médoc","","Bordeaux","","France"
"1149","Rosé","Chateau le Grand Verdus","Bordeaux Rosé","","Bordeaux","","France"
"1150","Red Blend","Dark Hundred","California","California Other","California","","US"
"1151","Red Blend","Flying Trout","Columbia Valley (WA)","Columbia Valley","Washington","Cutthroat Red","US"
"1152","Bordeaux-style Red Blend","Horeau-Beylot","Saint-Émilion","","Bordeaux","Château Grand Martinet","France"
"1153","Garnacha","Bodegas Artazu","Navarra","","Northern Spain","Santa Cruz de Artazu","Spain"
"1154","Tempranillo Blend","Burgo Viejo","Rioja","","Northern Spain","Tinto","Spain"
"1155","Pinot Noir","Toad Hollow","Russian River Valley","Sonoma","California","Goldie's Vineyard","US"
"1156","Petite Sirah","Penumbra","North Coast","North Coast","California","","US"
"1157","Rhône-style White Blend","Tablas Creek","Paso Robles","Central Coast","California","Côtes de Tablas Blanc","US"
"1158","Negroamaro","Torre Quarto","Puglia","","Southern Italy","Sangue Blu","Italy"
"1159","Bordeaux-style Red Blend","Château de Ferrand","Saint-Émilion","","Bordeaux","","France"
"1160","Rosé","Saint André de Figuière","Côtes de Provence","","Provence","Magali","France"
"1161","Chardonnay","Gainey","Sta. Rita Hills","Central Coast","California","","US"
"1162","White Blend","Banear","Delle Venezie","","Northeastern Italy","Mamàn","Italy"
"1163","Rosé","Bonterra","Mendocino County","","California","","US"
"1164","Syrah","Chaddsford","Pennsylvania","","Pennsylvania","","US"
"1165","Pinot Bianco","Di Lenardo","Venezia Giulia","","Northeastern Italy","Vigneto Vigne dai Vieris","Italy"
"1166","Mourvèdre","Lavender Ridge","Sierra Foothills","Sierra Foothills","California","","US"
"1167","Rosé","Mas de la Dame","Les Baux de Provence","","Provence","Rosé du Mas","France"
"1168","Syrah","Montevina","Amador County","Sierra Foothills","California","Terra d'Oro","US"
"1169","Portuguese White","Quinta de Ventozelo","","","Douro","Cister da Ribeira","Portugal"
"1170","Cabernet Sauvignon","Substance","Columbia Valley (WA)","Columbia Valley","Washington","Cs","US"
"1171","Rosé","Stevenot","Sierra Foothills","Sierra Foothills","California","Rosado","US"
"1172","Viognier","Stonehouse","Shenandoah Valley (CA)","Sierra Foothills","California","Tumbas Vineyard","US"
"1173","Pinot Grigio","Renato Keber","Collio","","Northeastern Italy","","Italy"
"1174","Riesling","S.A. Prüm","","","Mosel","Essence","Germany"
"1175","Malbec","Schmidt","Southern Oregon","Southern Oregon","Oregon","","US"
"1176","Ribolla Gialla","Tercic","Collio","","Northeastern Italy","","Italy"
"1177","Pinot Noir","August Truth","Russian River Valley","Sonoma","California","","US"
"1178","Chenin Blanc","Terre Brûlée","","","Swartland","","South Africa"
"1179","Pinot Noir","Apriori","Santa Cruz Mountains","Central Coast","California","Hicks Family Vineyard","US"
"1180","Nebbiolo","Bernat","Santa Ynez Valley","Central Coast","California","Rosé of","US"
"1181","Malbec","Bodega Norton","Mendoza","","Mendoza Province","Reserva","Argentina"
"1182","Pinot Meunier","Bouchaine","Carneros","Napa-Sonoma","California","Bacchus Collection Estate Vineyard","US"
"1183","Cabernet Franc","Brys","Old Mission Peninsula","","Michigan","Estate Grown","US"
"1184","Port","Bulas","","","Port","Late Bottled Vintage","Portugal"
"1185","Riesling","C. von Nell-Breuning","","","Mosel","Kaseler Dominikaner","Germany"
"1186","Sauvignon","Caldaro","Alto Adige","","Northeastern Italy","","Italy"
"1187","Portuguese Red","Casa da Passarella","","","Dão","Somontes Colheita","Portugal"
"1188","Cabernet Franc","Chateau Grand Traverse","Old Mission Peninsula","","Michigan","Reserve","US"
"1189","Sauvignon","Manincor","Alto Adige Terlano","","Northeastern Italy","Tannenberg","Italy"
"1190","Pinot Grigio","Mario Schiopetto","Collio","","Northeastern Italy","","Italy"
"1191","White Blend","Martin Ray","Dry Creek Valley","Sonoma","California","The Tower","US"
"1192","Chardonnay","Matchbook","Dunnigan Hills","Central Valley","California","Old Head","US"
"1193","Cabernet Sauvignon","Paratus","Mount Veeder","Napa","California","","US"
"1194","Riesling","Peter Mertes","","","Mosel","Platinum","Germany"
"1195","Port","Quinta dos Murças","","","Port","10 Anos Old Tawny","Portugal"
"1196","Pinot Noir","Replica","California","California Other","California","","US"
"1197","Rhône-style Red Blend","Domaine de l'Hermitage","Bandol","","Provence","","France"
"1198","Gewürztraminer","Domaine Weinbach","Alsace","","Alsace","Cuvée Théo","France"
"1199","Cabernet Sauvignon","Dunham","Columbia Valley (WA)","Columbia Valley","Washington","XVI","US"
"1200","Bordeaux-style Red Blend","Tamarack Cellars","Red Mountain","Columbia Valley","Washington","Ciel du Cheval Vineyard Reserve","US"
"1201","Blaufränkisch","Krutzler","","","Burgenland","Reserve","Austria"
"1202","Cabernet Sauvignon","Marita's Vineyard","Napa Valley","Napa","California","SOMA","US"
"1203","Cabernet Sauvignon","Pamplin","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"1204","Blaufränkisch","Prieler","","","Leithaberg","","Austria"
"1205","Pinot Gris","Rieflé","Alsace","","Alsace","Steinert Grand Cru","France"
"1206","Cabernet Sauvignon","Rocca","Coombsville","Napa","California","Collinetta Vineyard","US"
"1207","Red Blend","Buty","Horse Heaven Hills","Columbia Valley","Washington","Columbia Rediviva Phinny Hill Vineyard","US"
"1208","Bordeaux-style Red Blend","Caldwell","Napa Valley","Napa","California","Silver","US"
"1209","Viognier","Charles Smith","Columbia Valley (WA)","Columbia Valley","Washington","Stoneridge Vineyard","US"
"1210","Red Blend","Château Paradis","Coteaux d'Aix-en-Provence","","Provence","Terre des Anges","France"
"1211","Rhône-style Red Blend","Château Salettes","Bandol","","Provence","","France"
"1212","Rhône-style Red Blend","Domaine de Val d'Arenc","Bandol","","Provence","","France"
"1213","Pinot Noir","Fritsch","","","Wagram-Donauland","'P'","Austria"
"1214","Austrian Red Blend","Judith Beck","","","Burgenland","Pannobile","Austria"
"1215","Rhône-style Red Blend","Epoch Estate Wines","Paso Robles","Central Coast","California","Authenticity","US"
"1216","Cabernet Sauvignon","Z. Alexander Brown","Napa Valley","Napa","California","Limited Release","US"
"1217","Red Blend","Alain Brumont","Madiran","","Southwest France","Château Bouscassé","France"
"1218","Chardonnay","Alex Gambal","Chassagne-Montrachet","","Burgundy","La Maltroie Premier Cru","France"
"1219","Portuguese Red","Alves de Sousa","","","Douro","Abandonado","Portugal"
"1220","Rhône-style Red Blend","Château La Nerthe","Châteauneuf-du-Pape","","Rhône Valley","Cuvée des Cadettes","France"
"1221","Pinot Noir","David Duband","Nuits-St.-Georges","","Burgundy","Aux Thorey Premier Cru","France"
"1222","Sangiovese","Le Ragnaie","Brunello di Montalcino","","Tuscany","Fornace","Italy"
"1223","Pinot Noir","Louis Jadot","Beaune","","Burgundy","Clos des Ursules Premier Cru","France"
"1224","Red Blend","Masi","Amarone della Valpolicella Classico","","Veneto","Campolongo di Torbe","Italy"
"1225","Cabernet Sauvignon","Freemark Abbey","Rutherford","Napa","California","Cabernet Bosché","US"
"1226","Malbec","Georges Vigouroux","Cahors","","Southwest France","Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre","France"
"1227","Cabernet Sauvignon","Grimm's Bluff","Happy Canyon of Santa Barbara","Central Coast","California","Cliff Hanger","US"
"1228","Teroldego","Foradori","Vigneti delle Dolomiti","","Northeastern Italy","Morei","Italy"
"1229","Sauvignon Blanc","Joseph Phelps","St. Helena","Napa","California","Estate Grown","US"
"1230","Syrah","Mesa Del Sol","Arroyo Seco","Central Coast","California","","US"
"1231","Portuguese Red","Mouchão","","","Alentejo","Ponte das Canas","Portugal"
"1232","Cabernet Sauvignon","Pine Ridge","Napa Valley","Napa","California","Fortis","US"
"1233","Pinot Noir","Sandler","Santa Maria Valley","Central Coast","California","Bien Nacido Vineyard","US"
"1234","Pinot Noir","Tolosa","Edna Valley","Central Coast","California","Hollister Edna Ranch","US"
"1235","Sangiovese","Villa Poggio Salvi","Brunello di Montalcino","","Tuscany","Riserva","Italy"
"1236","Cabernet Sauvignon","Volker Eisele Family Estate","Napa Valley","Napa","California","Sievers Reserve","US"
"1237","Cabernet Sauvignon","TerraNoble","","","Colchagua Valley","Reserva","Chile"
"1238","Red Blend","Terre de Trinci","Montefalco Rosso","","Central Italy","Riserva","Italy"
"1239","Pinot Grigio","Mosolo Gleni","Colli Orientali del Friuli","","Northeastern Italy","Pinot Grigio","Italy"
"1240","Cabernet Sauvignon","Arbor Crest","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"1241","Shiraz-Cabernet Sauvignon","Wolf Blass","South Australia","","South Australia","Yellow Label","Australia"
"1242","Syrah","Chilensis","","","Maule Valley","Reserva","Chile"
